rodent_id,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,dorsal_image_id,ventral_image_id,cut_tail,key,genus
SEI-021,215,2,praomys_spp,rodent,53,123,143,27,19,45,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-06,5,seilama,seilama_1_2_5_215,NA,NA,NA,NA,NA
SEI-022,219,2,praomys_spp,rodent,47,117,138,27,19,37,female,na,na,open,visible,3,4,y,NA,1,yes,2020-12-06,5,seilama,seilama_1_2_5_219,NA,NA,NA,NA,NA
SEI-023,223,2,malacomys_edwardsi,rodent,63,113,154,33,28,43,female,na,na,open,visible,2,3,y,NA,1,yes,2020-12-06,5,seilama,seilama_1_2_5_223,NA,NA,NA,NA,NA
SEI-024,226,2,praomys_spp,rodent,44,109,139,26,19,41,female,na,na,not_noted,visible,3,3,y,NA,1,yes,2020-12-06,5,seilama,seilama_1_2_5_226,NA,NA,NA,NA,NA
SEI-025,232,2,praomys_spp,rodent,37,105,118,26,19,36,female,na,na,open,visible,3,3,y,NA,1,yes,2020-12-06,5,seilama,seilama_1_2_5_232,NA,NA,NA,NA,NA
SEI-026,245,2,praomys_spp,rodent,31,105,133,26,19,39,female,na,na,open,visible,3,0,y,NA,1,yes,2020-12-06,5,seilama,seilama_1_2_5_245,NA,NA,NA,NA,NA
SEI-027,252,1,m_minutoides,rodent,10,69,47,17,13,26,female,na,na,open,visible,3,2,y,NA,1,yes,2020-12-06,6,seilama,seilama_1_1_6_252,NA,NA,NA,NA,NA
SEI-028,50,3,l_sikapusi,rodent,60,123,63,23,16,33,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-07,2,seilama,seilama_1_3_2_50,NA,NA,NA,NA,NA
SEI-029,74,3,mastomys_spp,rodent,58,122,113,24,18,36,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-07,2,seilama,seilama_1_3_2_74,NA,NA,NA,NA,NA
SEI-030,96,3,hylomyscus_spp,rodent,13,78,95,18,16,29,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-07,2,seilama,seilama_1_3_2_96,NA,NA,NA,NA,NA
SEI-031,148,3,l_sikapusi,rodent,63,127,NA,23,17,38,male,outside,not_noted,na,na,NA,NA,y,no_tail,1,yes,2020-12-07,4,seilama,seilama_1_3_4_148,NA,NA,NA,NA,NA
SEI-032,167,3,l_sikapusi,rodent,58,124,58,23,17,37,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-07,4,seilama,seilama_1_3_4_167,NA,NA,NA,NA,NA
SEI-033,191,3,praomys_spp,rodent,24,98,108,26,17,32,male,outside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-07,4,seilama,seilama_1_3_4_191,NA,NA,NA,NA,NA
SEI-034,225,3,hylomyscus_spp,rodent,21,83,118,18,16,27,female,na,na,open,visible,3,3,y,NA,1,yes,2020-12-07,5,seilama,seilama_1_3_5_225,NA,NA,NA,NA,NA
SEI-035,243,3,hybomys_spp,rodent,24,95,77,33,18,33,male,outside,undeveloped,na,na,NA,NA,y,NA,1,yes,2020-12-07,5,seilama,seilama_1_3_5_243,NA,NA,NA,NA,NA
SEI-036,1,4,mastomys_spp,rodent,39,113,98,24,18,29,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-08,1,seilama,seilama_1_4_1_1,NA,NA,NA,NA,NA
SEI-037,136,4,r_rattus,rodent,28,103,118,29,19,33,female,na,na,not_open,barely_visible,0,0,y,NA,1,yes,2020-12-08,3,seilama,seilama_1_4_3_136,NA,NA,NA,NA,NA
SEI-038,176,4,crocidura_spp,shrew,29,121,79,19,9,35,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-08,4,seilama,seilama_1_4_4_176,NA,NA,NA,NA,NA
SEI-039,193,4,praomys_spp,rodent,43,113,138,27,19,45,female,na,na,open,visible,3,0,y,NA,1,yes,2020-12-08,4,seilama,seilama_1_4_4_193,NA,NA,NA,NA,NA
SEI-040,245,4,praomys_spp,rodent,43,117,143,27,20,35,female,na,na,not_open,visible,3,2,y,NA,1,yes,2020-12-08,5,seilama,seilama_1_4_5_245,NA,NA,NA,NA,NA
SEI-041,271,4,crocidura_spp,shrew,15,93,54,17,8,33,female,na,na,not_open,visible,2,0,y,NA,1,yes,2020-12-08,6,seilama,seilama_1_4_6_271,NA,NA,NA,NA,NA
SEI-042,276,4,r_rattus,rodent,105,149,188,37,24,42,female,na,na,open,visible,5,8,y,NA,1,yes,2020-12-08,6,seilama,seilama_1_4_6_276,NA,NA,NA,NA,NA
SEI-043,251,4,mastomys_spp,rodent,38,116,99,24,17,33,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-08,6,seilama,seilama_1_4_6_251,NA,NA,NA,NA,NA
2-LAL-4001,194,1,crocidura_spp,shrew,20,110,60,17,7,29,male,outside,not_noted,na,na,NA,NA,y,NA,2,no,2021-04-03,4,lalehun,lalehun_2_1_4_194,NA,NA,NA,NA,NA
2-LAL-4002,191,1,crocidura_spp,shrew,NA,80,62,15,5,22,male,outside,not_noted,na,na,NA,NA,n,NA,2,no,2021-04-03,4,lalehun,lalehun_2_1_4_191,NA,NA,NA,NA,NA
2-LAL-6003,296,1,rattus_sp,rodent,52,135,160,3,20,39,male,inside,developed,na,na,NA,NA,y,NA,2,no,2021-04-03,6,lalehun,lalehun_2_1_6_296,NA,NA,NA,NA,NA
2-LAL-2004,96,2,mus_minutoides,rodent,15,80,60,15,15,22,male,outside,developed,na,na,NA,NA,y,NA,2,no,2021-04-03,2,lalehun,lalehun_2_2_2_96,NA,NA,NA,NA,NA
2-LAL-3005,106,2,crocidura_spp,shrew,21,115,89,19,8,NA,male,inside,undeveloped,na,na,NA,NA,y,NA,2,no,2021-04-04,3,lalehun,lalehun_2_2_3_106,NA,NA,NA,NA,NA
2-LAL-4006,174,3,mus_minutoides,rodent,11,78,49,14,10,22,female,na,na,not_recorded,not_recorded,0,0,y,NA,2,no,2021-04-05,4,lalehun,lalehun_2_3_4_174,NA,NA,NA,NA,NA
2-LAL-6007,308,3,mastomys_spp,rodent,13,87,98,70,15,22,female,na,na,not_open,barely_visible,0,0,y,NA,2,no,2021-04-05,6,lalehun,lalehun_2_3_6_308,NA,NA,NA,NA,NA
2-LAL-2008,52,4,mus_minutoides,rodent,12,75,58,16,11,25,male,outside,developed,na,na,NA,NA,y,NA,2,no,2021-04-06,2,lalehun,lalehun_2_4_2_52,NA,NA,NA,NA,NA
2-LAL-2009,76,4,crocidura_spp,shrew,11,84,60,15,5,25,female,na,na,not_open,barely_visible,0,0,y,NA,2,no,2021-04-06,2,lalehun,lalehun_2_4_2_76,NA,NA,NA,NA,NA
2-LAL-2010,92,4,crocidura_spp,shrew,15,90,54,15,7,26,female,na,na,not_recorded,not_recorded,0,0,y,NA,2,no,2021-04-06,2,lalehun,lalehun_2_4_2_92,NA,NA,NA,NA,NA
2-LAL-3011,114,4,crocidura_spp,shrew,32,135,70,18,10,35,female,na,na,open,visible,NA,0,y,NA,2,yes,2021-04-06,3,lalehun,lalehun_2_4_3_114,NA,NA,NA,NA,NA
2-LAL-4012,127,4,malacomys_edwardsi,rodent,40,118,165,31,23,35,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-06,3,lalehun,lalehun_2_4_3_127,NA,NA,NA,NA,NA
2-LAL-4013,138,4,mastomys_spp,rodent,46,119,120,22,19,31,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-06,3,lalehun,lalehun_2_4_3_138,NA,NA,NA,NA,NA
2-LAL-4014,190,4,mus_minutoides,rodent,6,55,46,14,9,NA,male,inside,undeveloped,na,na,NA,NA,y,NA,2,yes,2021-04-06,4,lalehun,lalehun_2_4_4_190,NA,NA,NA,NA,NA
2-LAL-5015,205,4,mus_minutoides,rodent,15,80,57,15,12,20,female,na,na,not_open,visible,NA,0,NA,NA,2,no,2021-04-06,5,lalehun,lalehun_2_4_5_205,NA,NA,NA,NA,NA
2-LAL-6016,293,4,rattus_sp,rodent,60,145,167,30,20,36,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-06,6,lalehun,lalehun_2_4_6_293,NA,NA,NA,NA,NA
2-SEI-1001,35,1,mus_minutoides,rodent,12,74,60,15,10,20,female,na,na,open,visible,4,NA,y,NA,2,yes,2021-04-13,1,seilama,seilama_2_1_1_35,NA,NA,NA,NA,NA
2-SEI-1002,46,1,mastomys_spp,rodent,60,134,122,24,20,35,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-13,1,seilama,seilama_2_1_1_46,NA,NA,NA,NA,NA
