rodent_uid,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,form_entry,dorsal_image_id,ventral_image_id,cut_tail,key,genus,filter_label_number
2-SEI-301,225,1,mastomys_spp,rodent,35,115,119,22,16,29,male,outside,undeveloped,na,na,NA,NA,y,NA,2,yes,2021-04-13,3,seilama,seilama_2_1_3_225,NA,NA,NA,NA,NA,NA,NA
2-SEI-301,232,2,mastomys_spp,rodent,40,105,110,24,16,29,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,3,seilama,seilama_2_2_3_232,NA,NA,NA,NA,NA,NA,NA
2-SEI-301,265,2,mastomys_spp,rodent,65,125,105,26,16,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,3,seilama,seilama_2_2_3_265,NA,NA,NA,NA,NA,NA,NA
2-SEI-302,268,2,mastomys_spp,rodent,48,120,115,24,18,31,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-14,3,seilama,seilama_2_2_3_268,NA,NA,NA,NA,NA,NA,NA
2-SEI-502,272,2,crocidura_spp,shrew,22,105,82,20,10,NA,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-14,5,seilama,seilama_2_2_5_272,NA,NA,NA,NA,NA,NA,NA
2-SEI-502,292,2,praomys_spp,rodent,22,95,111,22,19,28,male,outside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,5,seilama,seilama_2_2_5_292,NA,NA,NA,NA,NA,NA,NA
2-SEI-502,296,2,praomys_spp,rodent,39,110,135,22,16,26,female,NA,NA,open,visible,3,0,y,NA,2,yes,2021-04-14,5,seilama,seilama_2_2_5_296,NA,NA,NA,NA,NA,NA,NA
2-SEI-102,5,2,mus_minutoides,rodent,11,70,69,15,10,21,female,NA,NA,not_open,NA,NA,NA,NA,NA,2,no,2021-04-14,1,seilama,seilama_2_2_1_5,NA,NA,NA,NA,NA,NA,NA
2-SEI-102,11,2,mastomys_spp,rodent,43,107,119,17,17,29,male,outside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_11,NA,NA,NA,NA,NA,NA,NA
2-SEI-102,19,2,praomys_spp,rodent,58,125,160,26,20,36,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_19,NA,NA,NA,NA,NA,NA,NA
2-SEI-102,22,2,mastomys_spp,rodent,35,104,105,22,17,28,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_22,NA,NA,NA,NA,NA,NA,NA
2-SEI-102,43,2,mus_minutoides,rodent,9,68,50,12,9,20,female,NA,NA,not_open,visible,2,0,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_43,NA,NA,NA,NA,NA,NA,NA
