SubmissionDate,form_entry,village_name,visit,rodent_numbering,rodent_number,trap_details-study_site,trap_details-site_number_input,trap_details-trap_number_int,trap_details-trap_night,trap_details-notes,rodent_details-genus,rodent_details-genus_other,rodent_details-species,rodent_details-species_other,rodent_details-photo_dorsal,rodent_details-photo_ventral,rodent_details-weight,rodent_details-head_body,rodent_details-cut_tail,rodent_details-tail,rodent_details-hind_foot,rodent_details-ear,rodent_details-skull,rodent_details-sex,rodent_details-testes,rodent_details-seminal,rodent_details-vagina,rodent_details-teats_visible,rodent_details-number_teats,rodent_details-embryos,acquisition-blood_filter,acquisition-filter_label,acquisition-blood_serum,acquisition-liver_spleen,acquisition-ear_snip,acquisition-eye_sample,notes,meta-instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits
2021-07-16T18:10:58.795Z,2021-07-13T14:20:31.407Z,seilama,3,,4,2,,51,1,,proamys,,,,1626186057137.jpg,1626186069218.jpg,33,110,yes,135,25,17,27,female,,,yes,yes,3,0,yes,3 Sel 4,yes,yes,yes,yes,,uuid:ae7dbb90-194c-4bfd-92d8-4e3ffe9112ef,uuid:ae7dbb90-194c-4bfd-92d8-4e3ffe9112ef,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:55.685Z,2021-07-13T14:11:24.155Z,seilama,3,,3,1,,42,1,,crocidura,,,,1626185529101.jpg,1626185542892.jpg,36,126,yes,70,19,12,32,female,,,yes,yes,3,0,yes,3 sel 3,yes,yes,yes,yes,,uuid:b34adfc0-807e-45d0-8c37-e1b697879931,uuid:b34adfc0-807e-45d0-8c37-e1b697879931,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:52.290Z,2021-07-13T14:02:48.511Z,seilama,3,,2,1,,16,1,,crocidura,,,,1626184996305.jpg,1626185008022.jpg,31,130,yes,78,18,11,30,female,,,yes,yes,3,3,yes,3 sel 2,yes,yes,yes,yes,,uuid:93facced-8158-4733-a537-7dd5bc57eeb8,uuid:93facced-8158-4733-a537-7dd5bc57eeb8,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:48.742Z,2021-07-13T13:50:41.271Z,seilama,3,,1,2,,53,1,,rattus,,rattus_rattus,,1626184502659.jpg,1626184522885.jpg,22,99,yes,155,25,15,28,female,,,yes,yes,3,0,yes,3sel1,yes,yes,yes,yes,,uuid:1d07ae4e-8046-4329-b2c5-53830c27788f,uuid:1d07ae4e-8046-4329-b2c5-53830c27788f,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:44.542Z,2021-07-12T10:50:03.170Z,lalehun,3,,13,5,,208,4,None,mus,,mus_minutoides,,1626087226360.jpg,1626087237299.jpg,18,79,no,55,12,15,22,female,,,yes,yes,3,0,yes,3LAL 13,yes,yes,yes,yes,No,uuid:5fa9289c-1e60-444c-a231-c81cd1b6ce8e,uuid:5fa9289c-1e60-444c-a231-c81cd1b6ce8e,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:40.428Z,2021-07-12T10:41:06.104Z,lalehun,3,,12,3,,154,4,None for now,crocidura,,unclear_crocidura,,1626086614497.jpg,1626086630249.jpg,35,126,no,75,20,10,34,male,internal,yes,,,,,yes,3LAL 12,yes,yes,yes,yes,No,uuid:930d66cc-aa1c-40ee-8cdc-b252b6fc5e05,uuid:930d66cc-aa1c-40ee-8cdc-b252b6fc5e05,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:36.772Z,2021-07-12T10:32:49.528Z,lalehun,3,,11,4,,250,4,No,crocidura,,unclear_crocidura,,1626086109830.jpg,1626086121790.jpg,27,115,no,73,16,13,35,female,,,yes,yes,3,0,yes,3LAL 11,yes,yes,yes,yes,No,uuid:00437874-95c4-43f7-b1ee-982f423b5db9,uuid:00437874-95c4-43f7-b1ee-982f423b5db9,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:32.756Z,2021-07-12T10:23:30.743Z,lalehun,3,,10,6,,127,4,None,crocidura,,not_listed_cr,,1626085536821.jpg,1626085549378.jpg,23,110,no,80,19,8,30,male,internal,yes,,,,,yes,3LAL 10,yes,yes,yes,no,Eyes not obtained,uuid:84a7dda4-516e-47c5-929a-5073aadd1071,uuid:84a7dda4-516e-47c5-929a-5073aadd1071,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:28.158Z,2021-07-12T10:17:03.455Z,lalehun,3,,9,6,,146,4,None,rattus,,rattus_rattus,,1626085087396.jpg,1626085098265.jpg,23,95,no,109,24,18,25,female,,,yes,yes,3,0,yes,3LAL 09,yes,yes,yes,yes,No,uuid:1e281805-d706-4e20-be94-7ae3d29aeb31,uuid:1e281805-d706-4e20-be94-7ae3d29aeb31,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:10:23.293Z,2021-07-12T10:06:30.320Z,lalehun,3,,8,6,,136,4,None,rattus,,rattus_rattus,,1626084589115.jpg,1626084604402.jpg,49,128,no,164,28,20,34,female,,,yes,yes,3,0,yes,3LAL8,yes,yes,yes,yes,No,uuid:1341a5a8-aacd-4359-9fd8-f66520cefd02,uuid:1341a5a8-aacd-4359-9fd8-f66520cefd02,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
